0.027325,3.73665
1.490075,3.550331
1.490075,3.550331
1.520769,3.464981
1.542537,3.338063
1.566113,3.180112
1.590025,3.025406
1.610632,2.876775
1.628081,2.730619
1.643738,2.581706
1.664475,2.423381
1.680537,2.269031
1.695225,2.118356
1.708244,1.984463
1.722594,1.827263
1.736344,1.679006
1.736344,1.679006
1.7483,1.526156
1.761044,1.387781
1.77135,1.24245
1.784544,1.087013
1.796319,0.929963
1.805869,0.779869
1.8163,0.638213
1.826088,0.4911
1.83705,0.333694
1.847344,0.198413
1.847344,0.198413
1.873075,0.118631
